phage,host,study,label,k3dist,k6dist,GCdiff,Homology,host_species,host_genus
nc 029119,staphylococcus epidermidis,NCBI_HR,1,0.176450594623675,0.205372206769188,-1.75790286553663,1,staphylococcus epidermidis,staphylococcus
nc 029118,lactococcus garvieae,NCBI_HR,1,0.266364914233012,0.340072367755547,-0.894954747873356,0,lactococcus garvieae,lactococcus
nc 029116,clostridium difficile,NCBI_HR,1,0.135989101836687,0.219365787967182,1.22602220274015,1,clostridium difficile,clostridium
nc 029107,ralstonia solanacearum,NCBI_HR,1,0.0877994994202362,0.156021222736877,-1.76341022110508,0,ralstonia solanacearum,ralstonia
nc 029104,brevibacillus laterosporus,NCBI_HR,1,0.0917087102142457,0.19389750563621,-3.21884252297473,1,brevibacillus laterosporus,brevibacillus
nc 029099,klebsiella pneumoniae,NCBI_HR,1,0.0821808153392689,0.188959129100708,-6.79530947666926,0,klebsiella pneumoniae,klebsiella
nc 029098,streptomyces lividans,NCBI_HR,1,0.323326517651331,0.400644865457144,-22.6661545231644,0,streptomyces lividans,streptomyces
nc 029094,pseudoalteromonas marina,NCBI_HR,1,0.501616717482692,0.451394675319998,-2.53175297819522,0,pseudoalteromonas marina,pseudoalteromonas
nc 030936,gordonia terrae,NCBI_HR,1,0.046874070439918,0.101459353694335,-5.85619486688518,1,gordonia terrae,gordonia
nc 029084,paenibacillus larvae,NCBI_HR,1,0.0516900828024633,0.182149700463233,-2.52962649431823,1,paenibacillus larvae,paenibacillus
nc 029081,pectobacterium atrosepticum,NCBI_HR,1,0.55274683174269,0.473291638361087,-2.21230938523768,0,pectobacterium atrosepticum,pectobacterium
nc 029075,achromobacter xylosoxidans,NCBI_HR,1,0.106611902971664,0.138790094527885,-7.27519444941358,0,achromobacter xylosoxidans,achromobacter
nc 029072,salmonella paratyphi,NCBI_HR,1,0.389483016247391,0.373694223015145,-6.50833056905182,0,salmonella paratyphi,salmonella
nc 029071,salmonella typhimurium,NCBI_HR,1,0.0806210739197146,0.179188714443908,-8.63586910962675,0,salmonella typhimurium,salmonella
nc 029068,lactobacillus fermentum,NCBI_HR,1,0.14277442142998,0.256256022988307,-3.34443198759173,1,lactobacillus fermentum,lactobacillus
nc 029058,lactobacillus fermentum,NCBI_HR,1,0.215113453348897,0.271020800624902,-13.2061039186597,1,lactobacillus fermentum,lactobacillus
nc 029057,vibrio parahaemolyticus,NCBI_HR,1,0.331422760936445,0.325020855454212,-9.66146758323329,0,vibrio parahaemolyticus,vibrio
nc 029050,salmonella paratyphi,NCBI_HR,1,0.416440095403007,0.392876583890405,-5.21404739948758,0,salmonella paratyphi,salmonella
nc 029045,salmonella gallinarum,NCBI_HR,1,0.124176700634788,0.202055441217727,4.32306725032746,0,salmonella gallinarum,salmonella
nc 029044,mycobacterium smegmatis,NCBI_HR,1,0.1167670299017,0.146361799880094,-2.62238264197708,0,mycobacterium smegmatis,mycobacterium
nc 029042,salmonella typhi,NCBI_HR,1,0.23977935356647,0.261019463947931,-7.45501905897453,0,salmonella typhi,salmonella
nc 030947,clostridium tetani,NCBI_HR,1,0.109402190534336,0.192385331009213,0.299155731757395,1,clostridium tetani,clostridium
nc 030950,clostridium tetani,NCBI_HR,1,0.08412040195811,0.160190401183492,-0.352870527641617,1,clostridium tetani,clostridium
nc 030902,gordonia malaquae,NCBI_HR,1,0.0239074665349006,0.0891765178617088,-0.502951975913248,1,gordonia malaquae,gordonia
nc 030907,gordonia malaquae,NCBI_HR,1,0.0378978639163909,0.137187379339431,0.138402227395275,1,gordonia malaquae,gordonia
nc 030929,pseudomonas aeruginosa,NCBI_HR,1,0.038000952826785,0.125070933138177,-7.98651499116151,1,pseudomonas aeruginosa,pseudomonas
nc 030924,gordonia terrae,NCBI_HR,1,0.103121330809954,0.171872112003438,-8.85613934479608,0,gordonia terrae,gordonia
nc 030923,pseudomonas putida,NCBI_HR,1,0.14456609160619,0.223820205884517,-1.16997109699915,0,pseudomonas putida,pseudomonas
nc 030920,bacillus megaterium,NCBI_HR,1,0.45771613200037,0.372422765165796,2.13268338711146,0,bacillus megaterium,bacillus
nc 030916,tsukamurella paurometabola,NCBI_HR,1,0.020539759377509,0.07717676070944,-0.553696297578398,1,tsukamurella paurometabola,tsukamurella
nc 030914,gordonia terrae,NCBI_HR,1,0.0901274486025157,0.153310751180916,-8.32407409016138,0,gordonia terrae,gordonia
nc 030912,gordonia neofelifaecis,NCBI_HR,1,0.0766971631055854,0.190461001933105,0.411872523313093,1,gordonia neofelifaecis,gordonia
nc 030910,pseudomonas aeruginosa,NCBI_HR,1,0.253569450432126,0.359465373680797,-17.1272136752283,0,pseudomonas aeruginosa,pseudomonas
nc 030906,gordonia malaquae,NCBI_HR,1,0.0733282924341662,0.160857051506174,-8.03617222484089,0,gordonia malaquae,gordonia
nc 030905,gordonia terrae,NCBI_HR,1,0.112663183825017,0.179520964814284,-8.67916603822061,0,gordonia terrae,gordonia
nc 030904,bacillus halmapalus,NCBI_HR,1,0.112488351240597,0.218899484425833,3.22559229953944,0,bacillus halmapalus,bacillus
nc 030901,gordonia terrae,NCBI_HR,1,0.0516999300836032,0.106801570624579,-5.88441313319158,1,gordonia terrae,gordonia
nc 030940,pseudomonas aeruginosa,NCBI_HR,1,0.0633653123386472,0.139981294873047,-2.62586649156059,1,pseudomonas aeruginosa,pseudomonas
nc 030939,gordonia malaquae,NCBI_HR,1,0.0154933756793373,0.061668641782241,0.152920169265869,1,gordonia malaquae,gordonia
nc 030932,gordonia sputi,NCBI_HR,1,0.0770503579182022,0.184891548494609,-2.51293711900677,0,gordonia sputi,gordonia
nc 030931,pseudomonas aeruginosa,NCBI_HR,1,0.0312350927902355,0.117351258351959,-4.3651845822346,1,pseudomonas aeruginosa,pseudomonas
nc 030930,gordonia terrae,NCBI_HR,1,0.0193035888535519,0.0643146555197191,-0.692467707246664,0,gordonia terrae,gordonia
nc 030927,gordonia terrae,NCBI_HR,1,0.0883672730149214,0.210363969743274,-1.67411420920195,0,gordonia terrae,gordonia
nc 030919,salmonella enterica,NCBI_HR,1,0.106681951953896,0.183483258784163,-5.15355010549525,1,salmonella enterica,salmonella
nc 030918,pseudomonas aeruginosa,NCBI_HR,1,0.0627216619511729,0.147317336068928,-2.18645513168559,1,pseudomonas aeruginosa,pseudomonas
nc 030917,gordonia terrae,NCBI_HR,1,0.0679314245334481,0.120236528689581,-6.32128557060042,1,gordonia terrae,gordonia
nc 030915,gordonia terrae,NCBI_HR,1,0.429685912452556,0.451293079867231,-20.7975227138024,0,gordonia terrae,gordonia
nc 030913,gordonia terrae,NCBI_HR,1,0.0201718270594922,0.0645434414174657,0.138307074532008,1,gordonia terrae,gordonia
nc 030911,gordonia terrae,NCBI_HR,1,0.0883528511486419,0.210317002869987,-1.66975292000485,0,gordonia terrae,gordonia
nc 030908,pseudomonas aeruginosa,NCBI_HR,1,0.0632359136955953,0.141448170722654,-2.54832192809555,1,pseudomonas aeruginosa,pseudomonas
nc 031054,bacillus thuringiensis,NCBI_HR,1,0.549982043229863,0.390995094543383,3.45294364150689,0,bacillus thuringiensis,bacillus
nc 031063,pseudomonas aeruginosa,NCBI_HR,1,0.225847519117834,0.247922600026031,-11.6164377686578,0,pseudomonas aeruginosa,pseudomonas
nc 026590,mycobacterium smegmatis,NCBI_HR,1,0.140124054562473,0.25600125717259,-10.5721632635847,0,mycobacterium smegmatis,mycobacterium
nc 031943,escherichia coli,NCBI_HR,1,0.539645730003413,0.455065768319278,0.326699796003005,0,escherichia coli,escherichia
nc 027348,delftia tsuruhatensis,NCBI_HR,1,0.0839735930226552,0.129595552871647,-6.44596375401432,1,delftia tsuruhatensis,delftia
nc 029003,salmonella enterica,NCBI_HR,1,0.0630584912781124,0.158717940736896,1.04558109471527,1,salmonella enterica,salmonella
nc 028696,salmonella enterica,NCBI_HR,1,0.129592432343927,0.203120945553942,-4.13855935185313,1,salmonella enterica,salmonella
nc 031045,salmonella enterica,NCBI_HR,1,0.241380008083647,0.261851644998147,-7.42154689329954,1,salmonella enterica,salmonella
nc 031021,salmonella enterica,NCBI_HR,1,0.135588551948108,0.2397471461021,-2.08993831152443,0,salmonella enterica,salmonella
nc 029015,salmonella enterica,NCBI_HR,1,0.0300371604512764,0.118381757589292,1.3985437039922,1,salmonella enterica,salmonella
nc 028701,salmonella enterica,NCBI_HR,1,0.0300371604512764,0.118381757589292,1.3985437039922,1,salmonella enterica,salmonella
nc 031937,escherichia coli,NCBI_HR,1,0.542032641652042,0.456461264005383,-0.584411585159053,0,escherichia coli,escherichia
nc 031933,salmonella enterica,NCBI_HR,1,0.400334869423609,0.37152273055554,-11.6885921609402,0,salmonella enterica,salmonella
nc 031925,salmonella enterica,NCBI_HR,1,0.133755947457675,0.232560345184864,-2.26082523098328,0,salmonella enterica,salmonella
nc 031918,salmonella enterica,NCBI_HR,1,0.13726353730124,0.190861562983757,-6.37052902969082,0,salmonella enterica,salmonella
nc 031946,salmonella enterica,NCBI_HR,1,0.112249108407576,0.189561541706724,-5.44148544948269,1,salmonella enterica,salmonella
nc 031940,salmonella enterica,NCBI_HR,1,0.0713603607056598,0.123647115770726,-1.26509311414422,1,salmonella enterica,salmonella
nc 031911,flavobacterium psychrophilum,NCBI_HR,1,0.0317361423118532,0.125690596299441,-1.09242722129129,1,flavobacterium psychrophilum,flavobacterium
nc 031939,salmonella enterica,NCBI_HR,1,0.534918429729977,0.459444254518985,-13.1094373932126,0,salmonella enterica,salmonella
nc 031936,gordonia alkanivorans,NCBI_HR,1,0.0648533528213471,0.130650167176756,-3.93556758846001,0,gordonia alkanivorans,gordonia
nc 031934,escherichia coli,NCBI_HR,1,0.225421022857065,0.291764282168642,-11.2064503506667,0,escherichia coli,escherichia
nc 031932,flavobacterium psychrophilum,NCBI_HR,1,0.180724471995322,0.284308135695871,-0.525128857002841,0,flavobacterium psychrophilum,flavobacterium
nc 031931,flavobacterium psychrophilum,NCBI_HR,1,0.302375991296793,0.309873839424809,-5.53827764649825,0,flavobacterium psychrophilum,flavobacterium
nc 031930,salmonella enterica,NCBI_HR,1,0.128289397402243,0.20637539069336,4.52592966383077,0,salmonella enterica,salmonella
nc 031928,escherichia coli,NCBI_HR,1,0.228490057127984,0.294746070151711,-11.1472569280528,0,escherichia coli,escherichia
nc 031926,flavobacterium psychrophilum,NCBI_HR,1,0.0304693054885279,0.120703284156573,-0.788499219604887,1,flavobacterium psychrophilum,flavobacterium
nc 031924,klebsiella pneumoniae,NCBI_HR,1,0.117786358672135,0.216268893560103,-11.0818028339645,0,klebsiella pneumoniae,klebsiella
nc 031919,flavobacterium psychrophilum,NCBI_HR,1,0.180769054102156,0.284328362341039,-0.525315122439807,0,flavobacterium psychrophilum,flavobacterium
nc 031917,pseudoalteromonas atlantica,NCBI_HR,1,0.0754763695355381,0.17432146491727,-4.01933261736556,0,pseudoalteromonas atlantica,pseudoalteromonas
nc 031914,flavobacterium psychrophilum,NCBI_HR,1,0.302471482421876,0.309922626392681,-5.5400767880435,0,flavobacterium psychrophilum,flavobacterium
nc 029048,clostridium difficile,NCBI_HR,1,0.0294346596014466,0.0736716331878856,-2.34737202319463,1,clostridium difficile,clostridium
nc 031255,gordonia terrae,NCBI_HR,1,0.0196075677729229,0.0647665216957988,-0.767344756913971,0,gordonia terrae,gordonia
nc 028935,escherichia coli,NCBI_HR,1,0.402547022364343,0.385919134635235,-10.6127956986667,0,escherichia coli,escherichia
nc 004775,salmonella enterica,NCBI_HR,1,0.0923931166773314,0.149805470068638,-1.13188236923467,1,salmonella enterica,salmonella
nc 021307,mycobacterium smegmatis,NCBI_HR,1,0.114746181049452,0.164824997335319,-2.95417554394587,0,mycobacterium smegmatis,mycobacterium
nc 021297,mycobacterium smegmatis,NCBI_HR,1,0.102766127847069,0.146081578993085,-3.81289558284204,0,mycobacterium smegmatis,mycobacterium
nc 013694,mycobacterium smegmatis,NCBI_HR,1,0.105099010021266,0.164145148704093,-3.53057057834187,1,mycobacterium smegmatis,mycobacterium
nc 031068,pectobacterium carotovorum,NCBI_HR,1,0.462326516007023,0.408071510760981,0.167094689577645,0,pectobacterium carotovorum,pectobacterium
nc 026608,paracoccus marcusii,NCBI_HR,1,0.396250192702314,0.42463808567379,-10.5102863504298,0,paracoccus marcusii,paracoccus
nc 027345,pseudomonas aeruginosa,NCBI_HR,1,0.229585814822518,0.24934768897385,-11.6227726602409,0,pseudomonas aeruginosa,pseudomonas
nc 028671,enterococcus faecalis,NCBI_HR,1,0.0724548708883873,0.175603284950287,-3.62292928324881,1,enterococcus faecalis,enterococcus
nc 029005,streptomyces avermitilis,NCBI_HR,1,0.20668856892467,0.235876175014425,-2.38649834204266,0,streptomyces avermitilis,streptomyces
nc 028987,acinetobacter baumannii,NCBI_HR,1,0.461199301967448,0.405192863514634,0.350618692731935,0,acinetobacter baumannii,acinetobacter
nc 011318,clostridium perfringens,NCBI_HR,1,0.191261501651653,0.285001150902826,1.90743892358566,1,clostridium perfringens,clostridium
nc 007060,staphylococcus aureus,NCBI_HR,1,0.187792755077571,0.271650629299312,2.83327300670413,1,staphylococcus aureus,staphylococcus
nc 007055,staphylococcus aureus,NCBI_HR,1,0.142150155628377,0.245345602226633,2.22310618889661,0,staphylococcus aureus,staphylococcus
nc 007053,staphylococcus aureus,NCBI_HR,1,0.122869865816445,0.206008856357193,0.572720011344586,1,staphylococcus aureus,staphylococcus
nc 005356,staphylococcus aureus,NCBI_HR,1,0.131498176160573,0.224353889233291,0.64257633865035,1,staphylococcus aureus,staphylococcus
nc 004821,bacillus cereus,NCBI_HR,1,0.0828741409385282,0.233199548001575,-0.549997508018002,1,bacillus cereus,bacillus
nc 004820,bacillus cereus,NCBI_HR,1,0.113776448034544,0.212776705532869,2.41478427558802,1,bacillus cereus,bacillus
nc 004740,staphylococcus aureus,NCBI_HR,1,0.107341740797309,0.208187415309325,-0.113007863484391,1,staphylococcus aureus,staphylococcus
nc 004589,streptococcus pyogenes,NCBI_HR,1,0.101304750541555,0.202387714252717,1.13204394507996,1,streptococcus pyogenes,streptococcus
nc 004588,streptococcus pyogenes,NCBI_HR,1,0.147742284173295,0.230139858453677,-0.498532685978823,1,streptococcus pyogenes,streptococcus
nc 004587,streptococcus pyogenes,NCBI_HR,1,0.0983430664876879,0.202293738681986,-0.0084871016118413,1,streptococcus pyogenes,streptococcus
nc 004586,streptococcus pyogenes,NCBI_HR,1,0.0635366848192474,0.174888647111568,-0.556047128387306,1,streptococcus pyogenes,streptococcus
nc 004585,streptococcus pyogenes,NCBI_HR,1,0.0806112986658589,0.189939407467824,-0.326784187317564,1,streptococcus pyogenes,streptococcus
nc 004170,pseudomonas syringae,NCBI_HR,1,0.199722499150173,0.394699534176259,-4.52219672939732,0,pseudomonas syringae,pseudomonas
nc 000924,escherichia coli,NCBI_HR,1,0.0619680191859193,0.122301194802029,-1.40280742234742,1,escherichia coli,escherichia
nc 028808,escherichia coli,NCBI_HR,1,0.422918058688575,0.400524507389189,-11.0097664794018,0,escherichia coli,escherichia
nc 031912,flavobacterium psychrophilum,NCBI_HR,1,0.301699303508316,0.309095117931535,-5.588580693706,0,flavobacterium psychrophilum,flavobacterium
nc 031909,campylobacter jejuni,NCBI_HR,1,0.232610767195903,0.282543663376786,-4.18938653839339,1,campylobacter jejuni,campylobacter
nc 031064,lactococcus lactis,NCBI_HR,1,0.0666350569114386,0.171982619740467,0.952914511283446,1,lactococcus lactis,lactococcus
nc 031092,citrobacter freundii,NCBI_HR,1,0.432097884279346,0.412510441427314,-0.973625437433633,0,citrobacter freundii,citrobacter
nc 031120,erwinia amylovora,NCBI_HR,1,0.254698834976986,0.246504080516926,-1.43210283875651,0,erwinia amylovora,erwinia
nc 031117,acinetobacter baumannii,NCBI_HR,1,0.0735129198497402,0.186066157192294,-1.01462976605102,1,acinetobacter baumannii,acinetobacter
nc 031114,escherichia coli,NCBI_HR,1,0.505081215049926,0.452591358370892,-2.11232328090627,0,escherichia coli,escherichia
nc 031110,pseudomonas aeruginosa,NCBI_HR,1,0.261777454620775,0.362107996160495,-17.1922272521123,1,pseudomonas aeruginosa,pseudomonas
nc 031109,gordonia terrae,NCBI_HR,1,0.294800167924962,0.344847863784381,-13.3523487412441,0,gordonia terrae,gordonia
nc 031108,propionibacterium freudenreichii,NCBI_HR,1,0.0457454675268054,0.133126560905379,-2.33053444006237,1,propionibacterium freudenreichii,propionibacterium
nc 031104,pseudomonas aeruginosa,NCBI_HR,1,0.226241541750686,0.247426754512081,-11.6598949412094,0,pseudomonas aeruginosa,pseudomonas
nc 031103,escherichia coli,NCBI_HR,1,0.151277095663208,0.253693731995478,-15.229145470821,1,escherichia coli,escherichia
nc 031100,bacillus thuringiensis,NCBI_HR,1,0.445166100757047,0.338283130948245,2.53085184047326,0,bacillus thuringiensis,bacillus
nc 031098,acinetobacter baumannii,NCBI_HR,1,0.0877281579117829,0.17241814411249,1.29348327793336,1,acinetobacter baumannii,acinetobacter
nc 031097,gordonia terrae,NCBI_HR,1,0.017665233313334,0.0639887077529566,-1.13767563796029,0,gordonia terrae,gordonia
nc 031096,pectobacterium atrosepticum,NCBI_HR,1,0.558486425453818,0.472979251215366,-2.1919877883572,0,pectobacterium atrosepticum,pectobacterium
nc 031090,shigella sonnei,NCBI_HR,1,0.19661750351432,0.293112469993471,-13.4759229003314,1,shigella sonnei,shigella
nc 031908,pseudoalteromonas marina,NCBI_HR,1,0.320167178149184,0.349223549672419,2.3417465402492,0,pseudoalteromonas marina,pseudoalteromonas
nc 031087,klebsiella pneumoniae,NCBI_HR,1,0.201279764040223,0.296564920979391,-18.1757032473474,1,klebsiella pneumoniae,klebsiella
nc 031082,escherichia coli,NCBI_HR,1,0.435947933072105,0.405231757497301,-11.7523625855728,1,escherichia coli,escherichia
nc 031081,escherichia coli,NCBI_HR,1,0.0857097181845483,0.177940425332253,3.68696374149565,0,escherichia coli,escherichia
nc 031080,mycobacterium smegmatis,NCBI_HR,1,0.102982091004786,0.13382200427158,-3.31298460876481,0,mycobacterium smegmatis,mycobacterium
nc 031078,streptomyces griseus,NCBI_HR,1,0.0658734774275279,0.130595409607912,-6.52915306518679,0,streptomyces griseus,streptomyces
nc 031076,propionibacterium freudenreichii,NCBI_HR,1,0.0502881474060131,0.139358776610517,-2.44312003581618,1,propionibacterium freudenreichii,propionibacterium
nc 031075,lactococcus lactis,NCBI_HR,1,0.176076327705978,0.311033309071629,0.865171435758782,0,lactococcus lactis,lactococcus
nc 031074,gordonia terrae,NCBI_HR,1,0.0339737929649107,0.0717182389918931,-3.09922240832104,0,gordonia terrae,gordonia
nc 031072,gordonia terrae,NCBI_HR,1,0.0175619628307448,0.0633717639714388,-0.436184970291478,0,gordonia terrae,gordonia
nc 031071,lactococcus lactis,NCBI_HR,1,0.170793563050582,0.301558600648621,0.708324295727103,0,lactococcus lactis,lactococcus
